wage_eur,age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
320000.0,34.0,170.0,72.0,b'Argentina',93.0,93.0,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,94.0,95.0,35.0,24.0,6.0,11.0,15.0,14.0,8.0
270000.0,32.0,185.0,81.0,b'Poland',92.0,92.0,71.0,95.0,90.0,85.0,89.0,85.0,79.0,85.0,70.0,88.0,77.0,79.0,77.0,93.0,82.0,42.0,19.0,15.0,6.0,12.0,8.0,10.0
270000.0,36.0,187.0,83.0,b'Portugal',91.0,91.0,87.0,95.0,90.0,80.0,86.0,88.0,81.0,84.0,77.0,88.0,85.0,88.0,86.0,94.0,74.0,32.0,24.0,7.0,11.0,15.0,14.0,11.0
270000.0,29.0,175.0,68.0,b'Brazil',91.0,91.0,85.0,83.0,63.0,86.0,86.0,95.0,88.0,87.0,81.0,95.0,93.0,89.0,96.0,89.0,84.0,32.0,29.0,9.0,9.0,15.0,15.0,11.0
350000.0,30.0,181.0,70.0,b'Belgium',91.0,91.0,94.0,82.0,55.0,94.0,82.0,88.0,85.0,83.0,93.0,91.0,76.0,76.0,79.0,91.0,78.0,65.0,53.0,15.0,13.0,5.0,10.0,13.0
130000.0,28.0,188.0,87.0,b'Slovenia',91.0,93.0,13.0,11.0,15.0,43.0,13.0,12.0,13.0,14.0,40.0,30.0,43.0,60.0,67.0,88.0,49.0,12.0,18.0,87.0,92.0,78.0,90.0,90.0
230000.0,22.0,182.0,73.0,b'France',91.0,95.0,78.0,93.0,72.0,85.0,83.0,93.0,80.0,69.0,71.0,91.0,97.0,97.0,92.0,93.0,83.0,34.0,32.0,13.0,5.0,7.0,11.0,6.0
86000.0,35.0,193.0,93.0,b'Germany',90.0,90.0,15.0,13.0,25.0,60.0,11.0,30.0,14.0,11.0,68.0,46.0,54.0,60.0,51.0,87.0,35.0,10.0,11.0,88.0,88.0,91.0,89.0,88.0
250000.0,29.0,187.0,85.0,b'Germany',90.0,92.0,18.0,14.0,11.0,61.0,14.0,21.0,18.0,12.0,63.0,30.0,38.0,50.0,39.0,86.0,43.0,13.0,10.0,88.0,85.0,88.0,88.0,90.0
240000.0,27.0,188.0,89.0,b'England',90.0,90.0,80.0,94.0,86.0,85.0,88.0,83.0,83.0,65.0,86.0,85.0,65.0,74.0,71.0,92.0,70.0,36.0,38.0,8.0,10.0,11.0,14.0,11.0
230000.0,30.0,168.0,70.0,b'France',90.0,90.0,68.0,65.0,54.0,82.0,56.0,79.0,49.0,49.0,79.0,81.0,82.0,75.0,82.0,93.0,92.0,93.0,86.0,15.0,12.0,10.0,7.0,10.0
350000.0,33.0,185.0,81.0,b'France',89.0,89.0,75.0,90.0,89.0,86.0,86.0,87.0,81.0,73.0,73.0,90.0,77.0,75.0,79.0,91.0,72.0,24.0,18.0,13.0,11.0,5.0,5.0,7.0
250000.0,29.0,199.0,96.0,b'Belgium',89.0,91.0,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,35.0,23.0,42.0,52.0,62.0,84.0,45.0,18.0,16.0,84.0,89.0,74.0,86.0,88.0
220000.0,28.0,183.0,78.0,b'Korea Republic',89.0,89.0,83.0,88.0,68.0,84.0,78.0,87.0,85.0,74.0,74.0,84.0,85.0,90.0,86.0,91.0,78.0,34.0,33.0,11.0,13.0,13.0,6.0,10.0
310000.0,29.0,185.0,84.0,b'Brazil',89.0,89.0,58.0,64.0,79.0,84.0,62.0,69.0,62.0,74.0,84.0,79.0,60.0,69.0,61.0,87.0,66.0,88.0,87.0,13.0,14.0,16.0,12.0,12.0
230000.0,29.0,193.0,92.0,b'Netherlands',89.0,89.0,53.0,52.0,87.0,79.0,45.0,70.0,60.0,70.0,86.0,76.0,66.0,88.0,61.0,87.0,53.0,92.0,86.0,13.0,10.0,13.0,11.0,11.0
270000.0,29.0,175.0,69.0,b'Senegal',89.0,89.0,78.0,86.0,84.0,84.0,75.0,90.0,77.0,64.0,71.0,88.0,93.0,90.0,93.0,91.0,88.0,42.0,38.0,10.0,10.0,15.0,7.0,14.0
270000.0,29.0,175.0,71.0,b'Egypt',89.0,89.0,79.0,91.0,59.0,84.0,81.0,90.0,83.0,69.0,75.0,89.0,89.0,91.0,91.0,92.0,91.0,43.0,41.0,14.0,14.0,9.0,11.0,14.0
200000.0,27.0,188.0,86.0,b'Brazil',89.0,91.0,20.0,14.0,14.0,61.0,18.0,23.0,15.0,20.0,66.0,40.0,64.0,63.0,60.0,88.0,48.0,15.0,8.0,87.0,82.0,93.0,88.0,88.0
160000.0,26.0,177.0,75.0,b'Germany',89.0,90.0,91.0,68.0,72.0,87.0,69.0,83.0,85.0,61.0,90.0,85.0,77.0,65.0,84.0,88.0,84.0,85.0,79.0,8.0,15.0,7.0,15.0,15.0
190000.0,28.0,191.0,91.0,b'Brazil',89.0,90.0,17.0,13.0,29.0,45.0,20.0,27.0,19.0,18.0,44.0,30.0,56.0,47.0,40.0,87.0,37.0,19.0,16.0,86.0,86.0,84.0,90.0,89.0
110000.0,22.0,196.0,90.0,b'Italy',89.0,93.0,12.0,12.0,12.0,36.0,8.0,28.0,12.0,14.0,34.0,30.0,50.0,55.0,64.0,85.0,38.0,14.0,16.0,91.0,83.0,79.0,85.0,90.0
115000.0,35.0,184.0,82.0,b'Spain',88.0,88.0,66.0,65.0,92.0,82.0,69.0,65.0,74.0,76.0,83.0,83.0,71.0,69.0,77.0,92.0,66.0,89.0,91.0,11.0,8.0,9.0,7.0,11.0
135000.0,34.0,182.0,83.0,b'Uruguay',88.0,88.0,80.0,93.0,84.0,83.0,90.0,83.0,86.0,82.0,77.0,86.0,76.0,69.0,75.0,92.0,78.0,45.0,38.0,27.0,25.0,31.0,33.0,37.0
310000.0,31.0,183.0,76.0,b'Germany',88.0,88.0,88.0,77.0,58.0,93.0,82.0,80.0,86.0,84.0,93.0,88.0,55.0,52.0,63.0,90.0,71.0,73.0,60.0,10.0,11.0,13.0,7.0,10.0
260000.0,28.0,191.0,94.0,b'Belgium',88.0,88.0,73.0,92.0,89.0,77.0,78.0,83.0,78.0,66.0,70.0,77.0,81.0,87.0,60.0,91.0,52.0,41.0,30.0,8.0,15.0,14.0,7.0,10.0
130000.0,34.0,185.0,80.0,b'Costa Rica',88.0,88.0,11.0,15.0,11.0,40.0,11.0,24.0,21.0,15.0,37.0,30.0,54.0,53.0,60.0,85.0,61.0,14.0,14.0,89.0,84.0,75.0,87.0,89.0
290000.0,26.0,170.0,69.0,b'England',88.0,89.0,79.0,85.0,46.0,83.0,67.0,87.0,79.0,72.0,69.0,86.0,95.0,88.0,94.0,90.0,93.0,53.0,47.0,15.0,12.0,12.0,15.0,9.0
250000.0,26.0,179.0,69.0,b'Portugal',88.0,89.0,87.0,83.0,64.0,91.0,87.0,83.0,87.0,87.0,88.0,87.0,77.0,73.0,80.0,91.0,79.0,73.0,65.0,12.0,14.0,15.0,8.0,14.0
110000.0,20.0,194.0,94.0,b'Norway',88.0,93.0,47.0,94.0,69.0,77.0,88.0,78.0,77.0,62.0,51.0,85.0,82.0,94.0,75.0,88.0,72.0,43.0,30.0,7.0,14.0,13.0,11.0,7.0
260000.0,33.0,173.0,70.0,b'Argentina',87.0,87.0,70.0,93.0,78.0,80.0,85.0,86.0,83.0,73.0,64.0,88.0,75.0,68.0,82.0,89.0,90.0,29.0,24.0,13.0,15.0,6.0,11.0,14.0
